filename,species_code,0:00,0:30,comments
day49_rec4_lateApr_e47.wav,RBNU,C,C,
day52_rec1_earlyApr_a5.wav,no birds,,,
day52_rec1_earlyApr_a6.wav,no birds,,,
day52_rec1_earlyApr_a14.wav,no birds,,,
day52_rec1_earlyApr_a33.wav,no birds,,,
day52_rec1_earlyApr_b3.wav,no birds,,,
day52_rec1_earlyApr_b10.wav,no birds,,,
day52_rec1_earlyApr_b36.wav,no birds,,,
day52_rec1_earlyApr_b39.wav,no birds,,,
day52_rec1_earlyApr_b43.wav,no birds,,,very loud vehicle noise
day52_rec1_earlyApr_b51.wav,bird sp.,C,,
day52_rec1_earlyApr_c0.wav,no birds,,,
day52_rec1_earlyApr_c17.wav,AMCR,C,C,
day52_rec1_earlyApr_c40.wav,bird sp.,C,,
day52_rec1_earlyApr_c40.wav,passerine sp.,C,,
day52_rec1_earlyApr_c55.wav,no birds,,,
day52_rec1_earlyApr_d5.wav,no birds,,,
day52_rec1_earlyApr_d22.wav,no birds,,,
day52_rec1_earlyApr_d29.wav,no birds,,,
day52_rec1_earlyApr_d31.wav,no birds,,,
day52_rec1_earlyApr_d43.wav,no birds,,,
day52_rec1_earlyApr_d48.wav,no birds,,,
day52_rec1_earlyApr_e2.wav,no birds,,,
day49_rec3_lateApr_e31.wav,BRCR,S,S,
day49_rec3_lateApr_e50.wav,BRCR,S,C,
day49_rec3_lateApr_e50.wav,RBNU,S,S,
day49_rec3_lateApr_e50.wav,CORA,,C,
day49_rec3_lateApr_e52.wav,BRCR,C,C,
day49_rec3_lateApr_e52.wav,passerine sp.,C,C,
day49_rec3_lateApr_e52.wav,CORA,,C,
day49_rec4_lateApr_a13.wav,CORA,C,C,
day49_rec4_lateApr_a32.wav,CANG,C,C,
day49_rec4_lateApr_a32.wav,BRCR,C,,
day49_rec4_lateApr_a32.wav,passerine sp.,,C,
day49_rec4_lateApr_a32.wav,bird sp.,,C,
day49_rec4_lateApr_a39.wav,no birds,,,
day49_rec4_lateApr_a41.wav,no birds,,,
day49_rec4_lateApr_b2.wav,AMRO,S,S,
day49_rec4_lateApr_b2.wav,BCCH,C,C,
day49_rec4_lateApr_b2.wav,WIWR,S,S,
day49_rec4_lateApr_b15.wav,CANG,C,C,
day49_rec4_lateApr_b16.wav,no birds,,,
day49_rec4_lateApr_b27.wav,NOFL,C,,
day49_rec4_lateApr_b48.wav,AMRO,C,C,
day49_rec4_lateApr_b48.wav,GCKI,,S,
day49_rec4_lateApr_c11.wav,passerine sp.,C,C,
day49_rec4_lateApr_c18.wav,HETH,C,C,
day49_rec4_lateApr_c18.wav,bird sp.,C,C,
day49_rec4_lateApr_c23.wav,no birds,,,
day49_rec4_lateApr_c24.wav,no birds,,,
day49_rec4_lateApr_c51.wav,passerine sp.,C,,
day49_rec4_lateApr_c52.wav,passerine sp.,C,,
day49_rec4_lateApr_c52.wav,RCKI,S,S,
day49_rec4_lateApr_d4.wav,WIWR,S,S,
day49_rec3_lateApr_b8.wav,WIWR,S,S,"two birds, one distant"
day49_rec3_lateApr_b8.wav,passerine sp.,C,,
day49_rec3_lateApr_b8.wav,AMRO,S,S,
day49_rec3_lateApr_b8.wav,BCCH,,C,
day49_rec3_lateApr_b23.wav,NOFL,C,,
day49_rec3_lateApr_b23.wav,passerine sp.,,C,
day49_rec3_lateApr_b25.wav,passerine sp.,C,C,
day49_rec3_lateApr_b25.wav,NOFL,,C,
day49_rec3_lateApr_b25.wav,WIWR,,S,
day49_rec3_lateApr_b35.wav,passerine sp.,C,C,
day49_rec3_lateApr_b38.wav,AMRO,C,,
day49_rec3_lateApr_b43.wav,BCCH,S,,
day49_rec3_lateApr_c19.wav,CANG,C,,
day49_rec3_lateApr_c19.wav,HETH,C,C,
day49_rec3_lateApr_c19.wav,NOFL,,C,
day49_rec3_lateApr_c19.wav,passerine sp.,C,,
day49_rec3_lateApr_c24.wav,no birds,,,
day49_rec3_lateApr_c32.wav,GCKI,C,C,
day49_rec3_lateApr_c50.wav,BRCR,S,S,
day49_rec3_lateApr_c52.wav,BRCR,C,,
day49_rec3_lateApr_c52.wav,RCKI,S,S,
day49_rec3_lateApr_c52.wav,WIWR,S,,
day49_rec3_lateApr_d17.wav,BCCH,S,S,overlapping songs
day49_rec3_lateApr_d17.wav,NOFL,C,C,
day49_rec3_lateApr_d32.wav,no birds,,,
day49_rec3_lateApr_d53.wav,BRCR,C,C,
day49_rec3_lateApr_e11.wav,WIWR,S,S,
day49_rec3_lateApr_e27.wav,WIWR,S,,
day49_rec3_lateApr_e27.wav,RBNU,,S,
day49_rec2_lateApr_c49.wav,BRCR,S,S,
day49_rec2_lateApr_c49.wav,WIWR,S,S,
day49_rec2_lateApr_c53.wav,no birds,,,footstep noise
day49_rec2_lateApr_d1.wav,bird sp.,C,,
day49_rec2_lateApr_d1.wav,BRCR,,S,
day49_rec2_lateApr_d4.wav,RBNU,S,,
day49_rec2_lateApr_d4.wav,PIWO,C,C,
day49_rec2_lateApr_d4.wav,BRCR,S,S,
day49_rec2_lateApr_d19.wav,bird sp.,C,,
day49_rec2_lateApr_d19.wav,HETH,,C,
day49_rec2_lateApr_d19.wav,GCKI,,C,
day49_rec2_lateApr_d24.wav,GCKI,S,C,
day49_rec2_lateApr_d24.wav,HETH,C,,
day49_rec2_lateApr_d24.wav,BRCR,C,S,
day49_rec2_lateApr_d31.wav,bird sp.,C,,
day49_rec2_lateApr_e8.wav,bird sp.,C,C,??? distant BAEA?
day49_rec2_lateApr_e10.wav,no birds,,,
day49_rec2_lateApr_e16.wav,no birds,,,
day49_rec2_lateApr_e29.wav,HETH,S,S,plane overhead
day49_rec3_lateApr_a3.wav,WIWR,S,,
day49_rec3_lateApr_a3.wav,HETH,,S,
day49_rec3_lateApr_a3.wav,bird sp.,C,C,
day49_rec3_lateApr_a11.wav,HETH,S,,
day49_rec3_lateApr_a11.wav,CORA,,C,
day49_rec3_lateApr_a11.wav,passerine sp.,,C,
day49_rec3_lateApr_a36.wav,passerine sp.,C,C,
day49_rec3_lateApr_a36.wav,bird sp.,,C,
day49_rec3_lateApr_a45.wav,AMRO,S,S,
day49_rec3_lateApr_a45.wav,BRCR,S,,
day49_rec3_lateApr_a45.wav,WBNU,C,C,
day49_rec3_lateApr_a45.wav,BCCH,C,,
day49_rec3_lateApr_a45.wav,WIWR,,S,
day49_rec1_lateApr_c33.wav,passerine sp.,,C,
day49_rec1_lateApr_c37.wav,passerine sp.,C,,
day49_rec1_lateApr_c37.wav,WIWR,S,S,
day49_rec1_lateApr_d6.wav,woodpecker sp.,D,,
day49_rec1_lateApr_d7.wav,no birds,,,
day49_rec1_lateApr_d8.wav,no birds,,,
day49_rec1_lateApr_d29.wav,GCKI,,C,
day49_rec1_lateApr_d36.wav,GCKI,,C,
day49_rec1_lateApr_e6.wav,bird sp.,,C,
day49_rec1_lateApr_e19.wav,bird sp.,C,,
day49_rec1_lateApr_e43.wav,no birds,,,
day49_rec2_lateApr_a11.wav,HETH,S,S,
day49_rec2_lateApr_a11.wav,GCKI,C,,
day49_rec2_lateApr_a11.wav,passerine sp.,C,C,
day49_rec2_lateApr_a11.wav,CORA,,C,
day49_rec2_lateApr_a15.wav,CORA,C,,
day49_rec2_lateApr_a15.wav,HETH,S,,
day49_rec2_lateApr_a15.wav,passerine sp.,,C,
day49_rec2_lateApr_a23.wav,passerine sp.,C,C,
day49_rec2_lateApr_a55.wav,bird sp.,,C,
day49_rec2_lateApr_b3.wav,woodpecker sp.,,D,
day49_rec2_lateApr_b5.wav,no birds,,,
day49_rec2_lateApr_b22.wav,CORA,C,C,
day49_rec2_lateApr_b34.wav,no birds,,,
day49_rec2_lateApr_b47.wav,no birds,,,
day49_rec2_lateApr_b48.wav,bird sp.,,C,chk chk chk- loud-ish
day49_rec2_lateApr_b54.wav,WIWR,S,S,
day49_rec2_lateApr_c22.wav,WIWR,S,,
day49_rec2_lateApr_c22.wav,DOWO,C,C,
day49_rec2_lateApr_c33.wav,WIWR,S,S,
day49_rec2_lateApr_c33.wav,YBSA,D,D,
day44_rec4_earlyApr_b42.wav,bird sp.,,C,
day44_rec4_earlyApr_b44.wav,no birds,,,
day44_rec4_earlyApr_b45.wav,no birds,,,
day44_rec4_earlyApr_c12.wav,no birds,,,
day44_rec4_earlyApr_c25.wav,no birds,,,
day44_rec4_earlyApr_c45.wav,no birds,,,
day44_rec4_earlyApr_d5.wav,no birds,,,
day44_rec4_earlyApr_d18.wav,no birds,,,
day44_rec4_earlyApr_d28.wav,no birds,,,
day44_rec4_earlyApr_e8.wav,bird sp.,C,,
day44_rec4_earlyApr_e21.wav,no birds,,,
day44_rec4_earlyApr_e22.wav,no birds,,,
day44_rec4_earlyApr_e28.wav,bird sp.,C,,
day44_rec4_earlyApr_e32.wav,CORA,,C,
day44_rec4_earlyApr_e36.wav,BCCH,S,,
day49_rec1_lateApr_a3.wav,GCKI,C,C,
day49_rec1_lateApr_a9.wav,GCKI,,S,
day49_rec1_lateApr_a29.wav,GCKI,C,C,
day49_rec1_lateApr_a33.wav,no birds,,,
day49_rec1_lateApr_a43.wav,CANG,C,C,
day49_rec1_lateApr_b0.wav,no birds,,,
day49_rec1_lateApr_b4.wav,WIWR,S,S,
day49_rec1_lateApr_b25.wav,no birds,,,
day49_rec1_lateApr_b27.wav,GCKI,C,C,
day49_rec1_lateApr_b34.wav,no birds,,,
day49_rec1_lateApr_b48.wav,bird sp.,,C,
day49_rec1_lateApr_c0.wav,GCKI,C,C,
day49_rec1_lateApr_c1.wav,RBNU,C,C,
day49_rec1_lateApr_c2.wav,bird sp.,C,C,
day49_rec1_lateApr_c2.wav,GCKI,,C,
day49_rec1_lateApr_c33.wav,CANG,C,C,
day49_rec1_lateApr_c33.wav,woodpecker sp.,D,D,
day52_rec4_earlyApr_a45.wav,no birds,,,
day52_rec4_earlyApr_a49.wav,no birds,,,
day52_rec4_earlyApr_a54.wav,no birds,,,
day52_rec4_earlyApr_a58.wav,HAWO,D,,
day52_rec4_earlyApr_b14.wav,no birds,,,
day52_rec4_earlyApr_b15.wav,no birds,,,
day52_rec4_earlyApr_b52.wav,no birds,,,
day52_rec4_earlyApr_b57.wav,no birds,,,
day52_rec4_earlyApr_c10.wav,no birds,,,
day52_rec4_earlyApr_c18.wav,no birds,,,
day52_rec4_earlyApr_c19.wav,bird sp.,,C,
day52_rec4_earlyApr_c30.wav,no birds,,,
day52_rec4_earlyApr_d1.wav,no birds,,,
day52_rec4_earlyApr_d8.wav,no birds,,,
day52_rec4_earlyApr_d29.wav,no birds,,,
day52_rec4_earlyApr_e2.wav,no birds,,,
day52_rec4_earlyApr_e8.wav,no birds,,,
day52_rec4_earlyApr_e9.wav,no birds,,,
day52_rec4_earlyApr_e12.wav,no birds,,,
day52_rec4_earlyApr_e22.wav,bird sp.,,C,
day52_rec4_earlyApr_e23.wav,no birds,,,
day52_rec4_earlyApr_e38.wav,no birds,,,
day52_rec4_earlyApr_e56.wav,no birds,,,
day58_rec2_lateMay_a14.wav,AMRO,S,S,very serious wind/background noise
day58_rec2_lateMay_a14.wav,WIWR,S,S,
day58_rec2_lateMay_a14.wav,passerine sp.,,C,
day58_rec2_lateMay_a16.wav,AMRO,S,S,
day58_rec2_lateMay_a16.wav,GCKI,C,,
day58_rec2_lateMay_a16.wav,WIWR,S,S,
day58_rec2_lateMay_a16.wav,AMRE,S,S,
day58_rec2_lateMay_a16.wav,WTSP,,S,also calling
day52_rec1_earlyApr_e11.wav,AMRO,,C,
day52_rec1_earlyApr_e18.wav,no birds,,,
day52_rec1_earlyApr_e34.wav,no birds,,,
day52_rec2_earlyApr_a6.wav,DOWO,D,,
day52_rec2_earlyApr_a6.wav,bird sp.,,C,
day52_rec2_earlyApr_a14.wav,no birds,,,
day52_rec2_earlyApr_a22.wav,BRCR,S,S,
day52_rec2_earlyApr_a36.wav,no birds,,,
day52_rec2_earlyApr_b3.wav,BCCH,C,C,
day52_rec2_earlyApr_b10.wav,woodpecker sp.,D,D,"tapping, not truly drumming"
day52_rec2_earlyApr_b23.wav,passerine sp.,,C,
day52_rec2_earlyApr_b41.wav,AMRO,,C,
day52_rec2_earlyApr_b47.wav,AMRO,C,C,
day52_rec2_earlyApr_c20.wav,passerine sp.,,C,
day52_rec2_earlyApr_d0.wav,no birds,,,
day52_rec2_earlyApr_d1.wav,no birds,,,
day52_rec2_earlyApr_d2.wav,PIWO,C,,
day52_rec2_earlyApr_d10.wav,no birds,,,
day52_rec2_earlyApr_d29.wav,no birds,,,
day52_rec2_earlyApr_e3.wav,no birds,,,
day52_rec2_earlyApr_e4.wav,no birds,,,
day52_rec2_earlyApr_e17.wav,passerine sp.,,C,
day52_rec2_earlyApr_e19.wav,no birds,,,
day52_rec2_earlyApr_e29.wav,no birds,,,
day52_rec2_earlyApr_e32.wav,no birds,,,
day52_rec2_earlyApr_e39.wav,no birds,,,
day52_rec2_earlyApr_e56.wav,no birds,,,
day58_rec2_lateMay_d51.wav,AMRO,S,S,
day58_rec2_lateMay_e2.wav,AMRO,S,S,
day58_rec2_lateMay_e2.wav,WTSP,S,S,
day58_rec2_lateMay_e2.wav,passerine sp.,C,C,
day58_rec2_lateMay_e12.wav,AMRO,S,S,
day58_rec2_lateMay_e12.wav,WTSP,S,S,
day58_rec2_lateMay_e12.wav,passerine sp.,C,,
day58_rec2_lateMay_e12.wav,HETH,C,C,
day58_rec2_lateMay_e12.wav,YRWA,,S,
day58_rec2_lateMay_e12.wav,BAWW,,S,
day58_rec3_lateMay_a14.wav,WTSP,S,S,horrific white noise
day58_rec3_lateMay_a14.wav,WIWR,S,S,
day58_rec3_lateMay_a14.wav,passerine sp.,C,C,
day58_rec3_lateMay_a20.wav,passerine sp.,C,C,
day58_rec3_lateMay_a20.wav,YRWA,,S,
day58_rec3_lateMay_a31.wav,WIWR,S,S,
day58_rec3_lateMay_a31.wav,WTSP,S,S,
day58_rec3_lateMay_a31.wav,BRCR,S,S,
day58_rec3_lateMay_a31.wav,passerine sp.,C,C,
day58_rec3_lateMay_a31.wav,AMRO,,C,
day58_rec3_lateMay_a41.wav,passerine sp.,C,C,
day58_rec3_lateMay_a41.wav,YRWA,S,,
day58_rec3_lateMay_a41.wav,bird sp.,,C,
day58_rec3_lateMay_a52.wav,passerine sp.,C,,
day58_rec3_lateMay_a52.wav,WIWR,S,S,
day58_rec3_lateMay_a52.wav,BRCR,C,C,
day58_rec3_lateMay_a52.wav,WTSP,,S,
day58_rec3_lateMay_b16.wav,passerine sp.,C,C,
day58_rec3_lateMay_b16.wav,WTSP,S,S,
day58_rec3_lateMay_b26.wav,passerine sp.,C,C,
day58_rec3_lateMay_b26.wav,BRCR,S,S,
day58_rec3_lateMay_b26.wav,WTSP,,S,
day58_rec3_lateMay_b26.wav,DOWO,C,C,
day58_rec3_lateMay_b39.wav,WTSP,S,,
day58_rec3_lateMay_b39.wav,BRCR,C,C,
day58_rec3_lateMay_b39.wav,AMRO,,S,
day58_rec3_lateMay_b41.wav,AMRO,S,S,
day58_rec3_lateMay_b41.wav,passerine sp.,C,C,
day58_rec3_lateMay_b41.wav,RBNU,,C,
day58_rec3_lateMay_b44.wav,passerine sp.,C,C,
day58_rec3_lateMay_b44.wav,YRWA,S,S,
day58_rec3_lateMay_b44.wav,BRCR,,C,
day58_rec3_lateMay_b44.wav,AMRO,,S,
day58_rec3_lateMay_b58.wav,passerine sp.,C,C,
day58_rec3_lateMay_b58.wav,BTNW,S,S,
day58_rec3_lateMay_b58.wav,YRWA,S,S,
day58_rec3_lateMay_b58.wav,WTSP,,S,
day58_rec3_lateMay_c12.wav,WIWR,S,,rain
day58_rec3_lateMay_c12.wav,passerine sp.,C,C,rain
day58_rec3_lateMay_c14.wav,WIWR,S,,rain
day58_rec3_lateMay_c14.wav,passerine sp.,C,C,rain
day58_rec3_lateMay_c14.wav,bird sp.,,C,rain
day58_rec3_lateMay_d7.wav,passerine sp.,S,,faint- b/c of rain
day58_rec3_lateMay_d7.wav,AMRE,,S,
day58_rec3_lateMay_d25.wav,WTSP,S,S,Multiple- 2-3 individuals
day58_rec3_lateMay_d25.wav,passerine sp.,C,C,
day58_rec3_lateMay_d43.wav,AMRO,C,C,
day58_rec3_lateMay_d43.wav,passerine sp.,C,C,
day58_rec3_lateMay_d52.wav,WIWR,S,S,
day58_rec3_lateMay_d52.wav,YRWA,S,,
day58_rec3_lateMay_d52.wav,BRCR,C,C,
day58_rec3_lateMay_d52.wav,WTSP,C,C,
day58_rec3_lateMay_e10.wav,WTSP,S,C,
day58_rec3_lateMay_e10.wav,AMRO,S,S,
day58_rec3_lateMay_e10.wav,passerine sp.,C,,
day58_rec3_lateMay_e15.wav,AMRO,S,,
day58_rec3_lateMay_e15.wav,BRCR,C,C,
day58_rec3_lateMay_e15.wav,WTSP,C,C,
day58_rec3_lateMay_e26.wav,YRWA,S,S,
day58_rec3_lateMay_e26.wav,BTNW,S,,
day58_rec3_lateMay_e26.wav,WTSP,C,,
day58_rec2_lateMay_a24.wav,AMRO,S,S,
day58_rec2_lateMay_a24.wav,WIWR,S,S,
day58_rec2_lateMay_a24.wav,BTNW,S,S,
day58_rec2_lateMay_a24.wav,RBNU,C,,
day58_rec2_lateMay_a24.wav,passerine sp.,C,C,
day58_rec2_lateMay_a24.wav,WTSP,,S,
day58_rec2_lateMay_a26.wav,AMRO,S,S,
day58_rec2_lateMay_a26.wav,WIWR,S,,
day58_rec2_lateMay_a26.wav,BTNW,S,,
day58_rec2_lateMay_a26.wav,passerine sp.,C,C,
day58_rec2_lateMay_a31.wav,AMRO,S,S,rain??
day58_rec2_lateMay_a31.wav,RCKI,S,,
day58_rec2_lateMay_a31.wav,passerine sp.,C,C,
day58_rec2_lateMay_a31.wav,WTSP,S,S,
day58_rec2_lateMay_a31.wav,WIWR,,S,
day58_rec2_lateMay_a39.wav,AMRO,S,S,
day58_rec2_lateMay_a39.wav,passerine sp.,,C,
day58_rec2_lateMay_a44.wav,AMRO,S,S,
day58_rec2_lateMay_a44.wav,BRCR,,C,
day58_rec2_lateMay_a51.wav,passerine sp.,C,,
day58_rec2_lateMay_a51.wav,BTNW,S,S,
day58_rec2_lateMay_a51.wav,AMRO,,S,
day58_rec2_lateMay_a52.wav,AMRO,S,S,
day58_rec2_lateMay_a52.wav,BTNW,S,,
day58_rec2_lateMay_a52.wav,GCKI,C,C,
day58_rec2_lateMay_b2.wav,BTNW,S,S,
day58_rec2_lateMay_b2.wav,AMRO,S,S,
