"anon_filename","species_code","species_common_name","0:00","0:30","1:00","1:30","2:00","2:30","3:00","3:30","4:00","4:30","5:00","5:30","6:00","6:30","7:00","7:30","8:00","8:30","9:00","9:30","comments"
"f171_late_May","NOPA","Northern Parula","S","S","S","S","S","S","S","S","S","S","S","S","S",,"S","S","S","S","S","S",
"f171_late_May","OVEN","Ovenbird","S","S","S","S","S","S","S","S","S","S","S",,,,,"S","S","S","S","S",
"f171_late_May","passerine sp.","passerine sp.",,,,,,,,,"C",,,,,,,,"C","C",,,
"f171_late_May","WIWR","Winter Wren",,,,,,,,"S",,,,,,,,,,,,,
"f172_early_May","BRCR","Brown Creeper",,,,,,,,,,"S","S","S","S","S","S","S","S","S","S",,
"f172_early_May","COGR","Common Grackle",,,,,,,,,,"C","C",,"C",,,,,,,,
"f172_early_May","DOWO","Downy Woodpecker",,,,,,,,,,,,,,,,"C",,,,"C",
"f172_early_May","HETH","Hermit Thrush","S","S","S","S","S","S","S","S","S",,"S","S","S","S","S","S","S","S","S","S",
"f172_early_May","NOFL","Northern Flicker","C","C","C",,,,,,,,,,"C","C","C","C","C","C","C","C",
"f172_early_May","passerine sp.","passerine sp.",,"C",,"C",,"C",,,"S","C",,,,,,"C",,,,,
"f172_early_May","WIWR","Winter Wren",,,,,"S","S",,,,,,,,,,"S",,,,,
"f172_early_May","woodpecker sp.","woodpecker sp.",,"D",,"D","D","D","C","D","D","D",,"D",,,,,,,,,
"f172_early_May","WTSP","White-throated Sparrow","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S",
"f172_early_May","YBSA","Yellow-bellied Sapsucker",,,,,,,,,,,"D","D","D","D","D","D",,,,,
"f172_early_May","YRWA","Yellow-rumped Warbler",,,"S",,"S",,"S","S","S",,,,,,,,,,,,
"f30_late_Apr","AMRO","American Robin",,,,,,,,"C","C","C","C","C",,"S",,,"C","C",,,
"f30_late_Apr","BCCH","Black-capped Chickadee",,,,,,,,,"C","C","C",,"C",,,,,,,,
"f30_late_Apr","BRCR","Brown Creeper",,,,,,,,,,,,,,,,"S","S",,,,
"f30_late_Apr","DEJU","Dark-eyed Junco",,,,"S",,,,,,,,,,,,,,,,,
"f30_late_Apr","flycatcher sp.","flycatcher sp.",,,,,,,,,,,,,,,,,,,"S",,"Kersplat-type thing"
"f30_late_Apr","GCKI","Golden-crowned Kinglet",,,,,,,,,,"C",,,"C","C","C","C","C","C","C","C",
